tier,mode,examples_analyzed,included_leaf_count,skipped_empty_leaf_count,reviewer_conditioned_response__EligibleCorrectReviewEpisodes,reviewer_conditioned_response__EligibleMisleadingReviewEpisodes,reviewer_conditioned_response__MisleadingReviewHarmRate,reviewer_conditioned_response__MisleadingReviewResistanceRate,reviewer_conditioned_response__ReviewerDetectedButNotFixedRate,reviewer_conditioned_response__ReviewerGuidedRepairRate,reviewer_conditioned_tensor__C_correct_agree_correct,reviewer_conditioned_tensor__C_correct_agree_wrong,reviewer_conditioned_tensor__C_correct_revise_correct,reviewer_conditioned_tensor__C_correct_revise_wrong,reviewer_conditioned_tensor__C_wrong_agree_correct,reviewer_conditioned_tensor__C_wrong_agree_wrong,reviewer_conditioned_tensor__C_wrong_revise_correct,reviewer_conditioned_tensor__C_wrong_revise_wrong,reviewer_detection__BalAcc_review,reviewer_detection__EligibleReviewEpisodes,reviewer_detection__FAR_review,reviewer_detection__FN_review,reviewer_detection__FP_review,reviewer_detection__Prec_review,reviewer_detection__Rec_review,reviewer_detection__ReviewEpisodes,reviewer_detection__TN_review,reviewer_detection__TP_review,reviewer_feedback_incorporation__EligibleReviewerFeedbackEpisodes,reviewer_feedback_incorporation__MisleadingReviewSusceptibilityRate,reviewer_feedback_incorporation__ReviewerFeedbackEpisodes,reviewer_feedback_incorporation__ReviewerFeedbackIncorporationRate,reviewer_feedback_incorporation__UsefulReviseFeedbackIncorporationRate
tier03,per,20,10,0,22,4,0.25,0.75,0.9545454545454546,0.045454545454545456,14,0,3,1,0,3,1,21,0.8288888888888889,43,0.2222222222222222,3,4,0.8461538461538461,0.88,47,14,22,47,0.25,47,0.574468085106383,0.22727272727272727
tier03,single_agent,20,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier04,baseline_llm,1106,116,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier04,broadcast,1106,116,0,870,480,0.35625,0.64375,0.6367816091954023,0.3632183908045977,802,0,309,171,0,122,316,554,0.7514859790371514,2277,0.374414976599064,122,480,0.6452328159645233,0.8773869346733668,2281,802,873,2281,0.5395833333333333,2281,0.8776852257781674,0.9335624284077892
tier04,per,1106,116,0,1110,161,0.043478260869565216,0.9565217391304348,0.9369369369369369,0.06306306306306306,859,0,154,7,15,295,70,1040,0.8119235017950842,2440,0.15784313725490196,310,161,0.8733280881195908,0.7816901408450704,2683,859,1110,2683,0.15527950310559005,2683,0.6462914647782333,0.34594594594594597
tier04,single_agent,1106,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier05,baseline_llm,1078,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier05,broadcast,1078,110,0,1254,624,0.32371794871794873,0.6762820512820513,0.696969696969697,0.30303030303030304,691,0,422,202,0,170,380,874,0.7030466313495962,2739,0.47452471482889735,170,624,0.6677316293929713,0.8806179775280899,2739,691,1254,2739,0.5689102564102564,2739,0.8660094925155166,0.9218500797448166
tier05,per,1078,110,0,1546,201,0.12935323383084577,0.8706467661691543,0.9560155239327296,0.04398447606727038,742,0,175,26,17,376,68,1478,0.7920843412304339,2882,0.21314952279957583,393,201,0.8849456210646823,0.7973182052604435,3235,742,1546,3235,0.17412935323383086,3235,0.594435857805255,0.32276843467011646
tier05,single_agent,1078,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier06,baseline_llm,497,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier06,broadcast,497,50,0,930,545,0.27339449541284405,0.726605504587156,0.7569892473118279,0.24301075268817204,239,0,396,149,0,159,226,704,0.5795545417983876,1875,0.6951530612244898,159,545,0.6310088016249153,0.854262144821265,1877,239,932,1877,0.6807339449541284,1877,0.8737346830047948,0.9324034334763949
tier06,per,497,50,0,833,157,0.08280254777070063,0.9171974522292994,0.9627851140456183,0.03721488595438175,296,3,144,13,6,310,31,802,0.6903399981677432,1605,0.3442982456140351,316,157,0.8414141414141414,0.7249782419495213,1774,299,833,1774,0.2356687898089172,1774,0.5941375422773394,0.3445378151260504
tier06,single_agent,497,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier07,baseline_llm,358,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier07,broadcast,358,40,0,854,439,0.22095671981776766,0.7790432801822323,0.7798594847775175,0.22014051522248243,166,0,342,97,0,114,188,666,0.5778537584925184,1575,0.7265238879736409,114,441,0.6594594594594595,0.8822314049586777,1577,166,854,1577,0.7210884353741497,1577,0.8883956880152187,0.9379391100702577
tier07,per,358,40,0,673,105,0.047619047619047616,0.9523809523809523,0.950965824665676,0.04903417533432392,203,0,100,5,5,253,33,640,0.6911334373780725,1240,0.3409090909090909,258,105,0.865211810012837,0.723175965665236,1387,203,674,1387,0.23809523809523808,1387,0.5681326604181687,0.31750741839762614
tier07,single_agent,358,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier08,baseline_llm,328,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier08,broadcast,328,40,0,654,499,0.2545090180360721,0.7454909819639278,0.6773700305810397,0.32262996941896027,163,0,372,127,0,99,211,443,0.5573747306845127,1415,0.7537764350453172,99,499,0.5672159583694709,0.8685258964143426,1415,163,654,1415,0.7535070140280561,1415,0.8918727915194347,0.9541284403669725
tier08,per,328,40,0,537,126,0.06349206349206349,0.9365079365079365,0.9459962756052142,0.054003724394785846,194,3,118,8,5,240,29,508,0.6483039440032305,1105,0.39009287925696595,245,126,0.8099547511312217,0.6867007672634271,1210,197,537,1210,0.23015873015873015,1210,0.584297520661157,0.37243947858473
tier08,single_agent,328,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier09,baseline_llm,146,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier09,broadcast,146,20,0,421,196,0.3112244897959184,0.6887755102040817,0.7434679334916865,0.25653206650831356,60,0,135,61,0,42,108,313,0.5718311285097193,719,0.765625,42,196,0.6823338735818476,0.9092872570194385,719,60,421,719,0.6836734693877551,719,0.8901251738525731,0.9596199524940617
tier09,per,146,20,0,295,63,0.06349206349206349,0.9365079365079365,0.9220338983050848,0.07796610169491526,77,1,59,4,3,96,23,272,0.6509612269143537,535,0.44680851063829785,99,63,0.8240223463687151,0.748730964467005,580,78,295,580,0.20634920634920634,580,0.5465517241379311,0.3593220338983051
tier09,single_agent,146,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier10,baseline_llm,15,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier10,broadcast,15,10,0,32,23,0.34782608695652173,0.6521739130434783,0.4375,0.5625,6,0,15,8,0,3,18,14,0.5605911330049261,64,0.7931034482758621,3,23,0.5818181818181818,0.9142857142857143,64,6,32,64,0.6521739130434783,64,0.859375,0.96875
tier10,per,15,10,0,35,4,0.0,1.0,0.9428571428571428,0.05714285714285714,8,0,4,0,0,8,2,33,0.7403100775193798,55,0.3333333333333333,8,4,0.8974358974358975,0.813953488372093,63,8,35,63,0.0,63,0.5396825396825397,0.3142857142857143
tier10,single_agent,15,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
