tier,mode,examples_analyzed,included_leaf_count,skipped_empty_leaf_count,inner_loop__ReflectiveHarmRate,inner_loop__ReflectiveNeglectRate,inner_loop__ReflectiveNetRepairGain,inner_loop__ReflectivePreservationRate,inner_loop__ReflectiveRepairRate,inner_loop__ReflectiveStillWrongRate,inner_loop__ReflectiveTryButFailRate,inner_loop__Transition_correct_to_correct,inner_loop__Transition_correct_to_wrong,inner_loop__Transition_wrong_to_correct,inner_loop__Transition_wrong_to_wrong,inner_loop_by_difficulty__10:Transition_correct_to_correct,inner_loop_by_difficulty__10:Transition_correct_to_wrong,inner_loop_by_difficulty__10:Transition_wrong_to_correct,inner_loop_by_difficulty__10:Transition_wrong_to_wrong,inner_loop_by_difficulty__1:Transition_correct_to_correct,inner_loop_by_difficulty__1:Transition_correct_to_wrong,inner_loop_by_difficulty__1:Transition_wrong_to_correct,inner_loop_by_difficulty__1:Transition_wrong_to_wrong,inner_loop_by_difficulty__2:Transition_correct_to_correct,inner_loop_by_difficulty__2:Transition_correct_to_wrong,inner_loop_by_difficulty__2:Transition_wrong_to_correct,inner_loop_by_difficulty__2:Transition_wrong_to_wrong,inner_loop_by_difficulty__3:Transition_correct_to_correct,inner_loop_by_difficulty__3:Transition_correct_to_wrong,inner_loop_by_difficulty__3:Transition_wrong_to_correct,inner_loop_by_difficulty__3:Transition_wrong_to_wrong,inner_loop_by_difficulty__4:Transition_correct_to_correct,inner_loop_by_difficulty__4:Transition_correct_to_wrong,inner_loop_by_difficulty__4:Transition_wrong_to_correct,inner_loop_by_difficulty__4:Transition_wrong_to_wrong,inner_loop_by_difficulty__5:Transition_correct_to_correct,inner_loop_by_difficulty__5:Transition_correct_to_wrong,inner_loop_by_difficulty__5:Transition_wrong_to_correct,inner_loop_by_difficulty__5:Transition_wrong_to_wrong,inner_loop_by_difficulty__6:Transition_correct_to_correct,inner_loop_by_difficulty__6:Transition_correct_to_wrong,inner_loop_by_difficulty__6:Transition_wrong_to_correct,inner_loop_by_difficulty__6:Transition_wrong_to_wrong,inner_loop_by_difficulty__7:Transition_correct_to_correct,inner_loop_by_difficulty__7:Transition_correct_to_wrong,inner_loop_by_difficulty__7:Transition_wrong_to_correct,inner_loop_by_difficulty__7:Transition_wrong_to_wrong,inner_loop_by_difficulty__8:Transition_correct_to_correct,inner_loop_by_difficulty__8:Transition_correct_to_wrong,inner_loop_by_difficulty__8:Transition_wrong_to_correct,inner_loop_by_difficulty__8:Transition_wrong_to_wrong,inner_loop_by_difficulty__9:Transition_correct_to_correct,inner_loop_by_difficulty__9:Transition_correct_to_wrong,inner_loop_by_difficulty__9:Transition_wrong_to_correct,inner_loop_by_difficulty__9:Transition_wrong_to_wrong
tier04,baseline_llm,1106,116,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier04,broadcast,1106,116,0,0.03336921420882669,0.27053140096618356,0.07073715562174236,0.9666307857911733,0.30434782608695654,0.6956521739130435,0.4251207729468599,0.6686522710349962,0.02308265078183172,0.09381980640357408,0.2144452717795979,,,,,,,,,,,,,,,,,0.6686522710349962,0.02308265078183172,0.09381980640357408,0.2144452717795979,,,,,,,,,,,,,,,,,,,,
tier04,per,1106,116,0,0.011083743842364532,0.48835274542429286,0.07944389275074479,0.9889162561576355,0.1405990016638935,0.8594009983361065,0.37104825291181365,0.3987090367428004,0.004468718967229395,0.08391261171797418,0.5129096325719961,,,,,,,,,,,,,,,,,0.3987090367428004,0.004468718967229395,0.08391261171797418,0.5129096325719961,,,,,,,,,,,,,,,,,,,,
tier04,single_agent,1106,116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier05,baseline_llm,1078,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier05,broadcast,1078,110,0,0.05372405372405373,0.28807947019867547,0.09908643710470837,0.9462759462759462,0.30629139072847683,0.6937086092715232,0.4056291390728477,0.5446240337315531,0.030920590302178495,0.13000702740688685,0.29444834855938157,,,,,,,,,,,,,,,,,,,,,0.5446240337315531,0.030920590302178495,0.13000702740688685,0.29444834855938157,,,,,,,,,,,,,,,,
tier05,per,1078,110,0,0.02824858757062147,0.4969512195121951,0.07751277683134583,0.9717514124293786,0.12317073170731707,0.8768292682926829,0.3798780487804878,0.293015332197615,0.008517887563884156,0.08603066439522998,0.6124361158432708,,,,,,,,,,,,,,,,,,,,,0.293015332197615,0.008517887563884156,0.08603066439522998,0.6124361158432708,,,,,,,,,,,,,,,,
tier05,single_agent,1078,110,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier06,baseline_llm,497,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier06,broadcast,497,50,0,0.12162162162162163,0.24873096446700507,0.05366492146596859,0.8783783783783784,0.2182741116751269,0.7817258883248731,0.5329949238578681,0.42539267015706805,0.058900523560209424,0.112565445026178,0.4031413612565445,,,,,,,,,,,,,,,,,,,,,,,,,0.42539267015706805,0.058900523560209424,0.112565445026178,0.4031413612565445,,,,,,,,,,,,
tier06,per,497,50,0,0.058997050147492625,0.5081256771397616,0.043581616481774964,0.9410029498525073,0.08125677139761647,0.9187432286023836,0.4106175514626219,0.25277337559429475,0.01584786053882726,0.059429477020602216,0.6719492868462758,,,,,,,,,,,,,,,,,,,,,,,,,0.25277337559429475,0.01584786053882726,0.059429477020602216,0.6719492868462758,,,,,,,,,,,,
tier06,single_agent,497,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier07,baseline_llm,358,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier07,broadcast,358,40,0,0.11067193675889328,0.21580547112462006,0.06013745704467354,0.8893280632411067,0.19148936170212766,0.8085106382978723,0.5927051671732523,0.3865979381443299,0.048109965635738834,0.10824742268041238,0.4570446735395189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3865979381443299,0.048109965635738834,0.10824742268041238,0.4570446735395189,,,,,,,,
tier07,per,358,40,0,0.08403361344537816,0.5034578146611342,0.037460978147762745,0.9159663865546218,0.07745504840940526,0.9225449515905948,0.4190871369294606,0.22684703433922998,0.02081165452653486,0.05827263267429761,0.6940686784599376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22684703433922998,0.02081165452653486,0.05827263267429761,0.6940686784599376,,,,,,,,
tier07,single_agent,358,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier08,baseline_llm,328,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier08,broadcast,328,40,0,0.11983471074380166,0.1568627450980392,0.08450704225352113,0.8801652892561983,0.2784313725490196,0.7215686274509804,0.5647058823529412,0.42857142857142855,0.05835010060362173,0.14285714285714285,0.3702213279678068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42857142857142855,0.05835010060362173,0.14285714285714285,0.3702213279678068,,,,
tier08,per,328,40,0,0.09126984126984126,0.4377049180327869,0.025522041763341066,0.9087301587301587,0.07377049180327869,0.9262295081967213,0.4885245901639344,0.265661252900232,0.02668213457076566,0.052204176334106726,0.6554524361948956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265661252900232,0.02668213457076566,0.052204176334106726,0.6554524361948956,,,,
tier08,single_agent,328,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier09,baseline_llm,146,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier09,broadcast,146,20,0,0.14953271028037382,0.22058823529411764,0.06172839506172839,0.8504672897196262,0.22794117647058823,0.7720588235294118,0.5514705882352942,0.37448559670781895,0.06584362139917696,0.12757201646090535,0.43209876543209874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37448559670781895,0.06584362139917696,0.12757201646090535,0.43209876543209874
tier09,per,146,20,0,0.08653846153846154,0.49169435215946844,0.03950617283950617,0.9134615384615384,0.08305647840531562,0.9169435215946844,0.42524916943521596,0.2345679012345679,0.022222222222222223,0.06172839506172839,0.6814814814814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2345679012345679,0.022222222222222223,0.06172839506172839,0.6814814814814815
tier09,single_agent,146,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier10,baseline_llm,15,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier10,broadcast,15,10,0,0.1,0.35714285714285715,0.16666666666666666,0.9,0.35714285714285715,0.6428571428571429,0.2857142857142857,0.375,0.041666666666666664,0.20833333333333334,0.375,0.375,0.041666666666666664,0.20833333333333334,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier10,per,15,10,0,0.0,0.5,0.044444444444444446,1.0,0.05555555555555555,0.9444444444444444,0.4444444444444444,0.2,0.0,0.044444444444444446,0.7555555555555555,0.2,0.0,0.044444444444444446,0.7555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tier10,single_agent,15,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
